"","obs_sd","context_sd","prior_sd","context_dim"
"1",0.125,0.125,0.125,1
"2",0.25,0.125,0.125,1
"3",0.5,0.125,0.125,1
"4",1,0.125,0.125,1
"5",2,0.125,0.125,1
"6",4,0.125,0.125,1
"7",8,0.125,0.125,1
"8",16,0.125,0.125,1
"9",0.125,0.25,0.125,1
"10",0.25,0.25,0.125,1
"11",0.5,0.25,0.125,1
"12",1,0.25,0.125,1
"13",2,0.25,0.125,1
"14",4,0.25,0.125,1
"15",8,0.25,0.125,1
"16",16,0.25,0.125,1
"17",0.125,0.5,0.125,1
"18",0.25,0.5,0.125,1
"19",0.5,0.5,0.125,1
"20",1,0.5,0.125,1
"21",2,0.5,0.125,1
"22",4,0.5,0.125,1
"23",8,0.5,0.125,1
"24",16,0.5,0.125,1
"25",0.125,1,0.125,1
"26",0.25,1,0.125,1
"27",0.5,1,0.125,1
"28",1,1,0.125,1
"29",2,1,0.125,1
"30",4,1,0.125,1
"31",8,1,0.125,1
"32",16,1,0.125,1
"33",0.125,2,0.125,1
"34",0.25,2,0.125,1
"35",0.5,2,0.125,1
"36",1,2,0.125,1
"37",2,2,0.125,1
"38",4,2,0.125,1
"39",8,2,0.125,1
"40",16,2,0.125,1
"41",0.125,4,0.125,1
"42",0.25,4,0.125,1
"43",0.5,4,0.125,1
"44",1,4,0.125,1
"45",2,4,0.125,1
"46",4,4,0.125,1
"47",8,4,0.125,1
"48",16,4,0.125,1
"49",0.125,8,0.125,1
"50",0.25,8,0.125,1
"51",0.5,8,0.125,1
"52",1,8,0.125,1
"53",2,8,0.125,1
"54",4,8,0.125,1
"55",8,8,0.125,1
"56",16,8,0.125,1
"57",0.125,16,0.125,1
"58",0.25,16,0.125,1
"59",0.5,16,0.125,1
"60",1,16,0.125,1
"61",2,16,0.125,1
"62",4,16,0.125,1
"63",8,16,0.125,1
"64",16,16,0.125,1
"65",0.125,0.125,0.25,1
"66",0.25,0.125,0.25,1
"67",0.5,0.125,0.25,1
"68",1,0.125,0.25,1
"69",2,0.125,0.25,1
"70",4,0.125,0.25,1
"71",8,0.125,0.25,1
"72",16,0.125,0.25,1
"73",0.125,0.25,0.25,1
"74",0.25,0.25,0.25,1
"75",0.5,0.25,0.25,1
"76",1,0.25,0.25,1
"77",2,0.25,0.25,1
"78",4,0.25,0.25,1
"79",8,0.25,0.25,1
"80",16,0.25,0.25,1
"81",0.125,0.5,0.25,1
"82",0.25,0.5,0.25,1
"83",0.5,0.5,0.25,1
"84",1,0.5,0.25,1
"85",2,0.5,0.25,1
"86",4,0.5,0.25,1
"87",8,0.5,0.25,1
"88",16,0.5,0.25,1
"89",0.125,1,0.25,1
"90",0.25,1,0.25,1
"91",0.5,1,0.25,1
"92",1,1,0.25,1
"93",2,1,0.25,1
"94",4,1,0.25,1
"95",8,1,0.25,1
"96",16,1,0.25,1
"97",0.125,2,0.25,1
"98",0.25,2,0.25,1
"99",0.5,2,0.25,1
"100",1,2,0.25,1
"101",2,2,0.25,1
"102",4,2,0.25,1
"103",8,2,0.25,1
"104",16,2,0.25,1
"105",0.125,4,0.25,1
"106",0.25,4,0.25,1
"107",0.5,4,0.25,1
"108",1,4,0.25,1
"109",2,4,0.25,1
"110",4,4,0.25,1
"111",8,4,0.25,1
"112",16,4,0.25,1
"113",0.125,8,0.25,1
"114",0.25,8,0.25,1
"115",0.5,8,0.25,1
"116",1,8,0.25,1
"117",2,8,0.25,1
"118",4,8,0.25,1
"119",8,8,0.25,1
"120",16,8,0.25,1
"121",0.125,16,0.25,1
"122",0.25,16,0.25,1
"123",0.5,16,0.25,1
"124",1,16,0.25,1
"125",2,16,0.25,1
"126",4,16,0.25,1
"127",8,16,0.25,1
"128",16,16,0.25,1
"129",0.125,0.125,0.5,1
"130",0.25,0.125,0.5,1
"131",0.5,0.125,0.5,1
"132",1,0.125,0.5,1
"133",2,0.125,0.5,1
"134",4,0.125,0.5,1
"135",8,0.125,0.5,1
"136",16,0.125,0.5,1
"137",0.125,0.25,0.5,1
"138",0.25,0.25,0.5,1
"139",0.5,0.25,0.5,1
"140",1,0.25,0.5,1
"141",2,0.25,0.5,1
"142",4,0.25,0.5,1
"143",8,0.25,0.5,1
"144",16,0.25,0.5,1
"145",0.125,0.5,0.5,1
"146",0.25,0.5,0.5,1
"147",0.5,0.5,0.5,1
"148",1,0.5,0.5,1
"149",2,0.5,0.5,1
"150",4,0.5,0.5,1
"151",8,0.5,0.5,1
"152",16,0.5,0.5,1
"153",0.125,1,0.5,1
"154",0.25,1,0.5,1
"155",0.5,1,0.5,1
"156",1,1,0.5,1
"157",2,1,0.5,1
"158",4,1,0.5,1
"159",8,1,0.5,1
"160",16,1,0.5,1
"161",0.125,2,0.5,1
"162",0.25,2,0.5,1
"163",0.5,2,0.5,1
"164",1,2,0.5,1
"165",2,2,0.5,1
"166",4,2,0.5,1
"167",8,2,0.5,1
"168",16,2,0.5,1
"169",0.125,4,0.5,1
"170",0.25,4,0.5,1
"171",0.5,4,0.5,1
"172",1,4,0.5,1
"173",2,4,0.5,1
"174",4,4,0.5,1
"175",8,4,0.5,1
"176",16,4,0.5,1
"177",0.125,8,0.5,1
"178",0.25,8,0.5,1
"179",0.5,8,0.5,1
"180",1,8,0.5,1
"181",2,8,0.5,1
"182",4,8,0.5,1
"183",8,8,0.5,1
"184",16,8,0.5,1
"185",0.125,16,0.5,1
"186",0.25,16,0.5,1
"187",0.5,16,0.5,1
"188",1,16,0.5,1
"189",2,16,0.5,1
"190",4,16,0.5,1
"191",8,16,0.5,1
"192",16,16,0.5,1
"193",0.125,0.125,1,1
"194",0.25,0.125,1,1
"195",0.5,0.125,1,1
"196",1,0.125,1,1
"197",2,0.125,1,1
"198",4,0.125,1,1
"199",8,0.125,1,1
"200",16,0.125,1,1
"201",0.125,0.25,1,1
"202",0.25,0.25,1,1
"203",0.5,0.25,1,1
"204",1,0.25,1,1
"205",2,0.25,1,1
"206",4,0.25,1,1
"207",8,0.25,1,1
"208",16,0.25,1,1
"209",0.125,0.5,1,1
"210",0.25,0.5,1,1
"211",0.5,0.5,1,1
"212",1,0.5,1,1
"213",2,0.5,1,1
"214",4,0.5,1,1
"215",8,0.5,1,1
"216",16,0.5,1,1
"217",0.125,1,1,1
"218",0.25,1,1,1
"219",0.5,1,1,1
"220",1,1,1,1
"221",2,1,1,1
"222",4,1,1,1
"223",8,1,1,1
"224",16,1,1,1
"225",0.125,2,1,1
"226",0.25,2,1,1
"227",0.5,2,1,1
"228",1,2,1,1
"229",2,2,1,1
"230",4,2,1,1
"231",8,2,1,1
"232",16,2,1,1
"233",0.125,4,1,1
"234",0.25,4,1,1
"235",0.5,4,1,1
"236",1,4,1,1
"237",2,4,1,1
"238",4,4,1,1
"239",8,4,1,1
"240",16,4,1,1
"241",0.125,8,1,1
"242",0.25,8,1,1
"243",0.5,8,1,1
"244",1,8,1,1
"245",2,8,1,1
"246",4,8,1,1
"247",8,8,1,1
"248",16,8,1,1
"249",0.125,16,1,1
"250",0.25,16,1,1
"251",0.5,16,1,1
"252",1,16,1,1
"253",2,16,1,1
"254",4,16,1,1
"255",8,16,1,1
"256",16,16,1,1
"257",0.125,0.125,2,1
"258",0.25,0.125,2,1
"259",0.5,0.125,2,1
"260",1,0.125,2,1
"261",2,0.125,2,1
"262",4,0.125,2,1
"263",8,0.125,2,1
"264",16,0.125,2,1
"265",0.125,0.25,2,1
"266",0.25,0.25,2,1
"267",0.5,0.25,2,1
"268",1,0.25,2,1
"269",2,0.25,2,1
"270",4,0.25,2,1
"271",8,0.25,2,1
"272",16,0.25,2,1
"273",0.125,0.5,2,1
"274",0.25,0.5,2,1
"275",0.5,0.5,2,1
"276",1,0.5,2,1
"277",2,0.5,2,1
"278",4,0.5,2,1
"279",8,0.5,2,1
"280",16,0.5,2,1
"281",0.125,1,2,1
"282",0.25,1,2,1
"283",0.5,1,2,1
"284",1,1,2,1
"285",2,1,2,1
"286",4,1,2,1
"287",8,1,2,1
"288",16,1,2,1
"289",0.125,2,2,1
"290",0.25,2,2,1
"291",0.5,2,2,1
"292",1,2,2,1
"293",2,2,2,1
"294",4,2,2,1
"295",8,2,2,1
"296",16,2,2,1
"297",0.125,4,2,1
"298",0.25,4,2,1
"299",0.5,4,2,1
"300",1,4,2,1
"301",2,4,2,1
"302",4,4,2,1
"303",8,4,2,1
"304",16,4,2,1
"305",0.125,8,2,1
"306",0.25,8,2,1
"307",0.5,8,2,1
"308",1,8,2,1
"309",2,8,2,1
"310",4,8,2,1
"311",8,8,2,1
"312",16,8,2,1
"313",0.125,16,2,1
"314",0.25,16,2,1
"315",0.5,16,2,1
"316",1,16,2,1
"317",2,16,2,1
"318",4,16,2,1
"319",8,16,2,1
"320",16,16,2,1
"321",0.125,0.125,4,1
"322",0.25,0.125,4,1
"323",0.5,0.125,4,1
"324",1,0.125,4,1
"325",2,0.125,4,1
"326",4,0.125,4,1
"327",8,0.125,4,1
"328",16,0.125,4,1
"329",0.125,0.25,4,1
"330",0.25,0.25,4,1
"331",0.5,0.25,4,1
"332",1,0.25,4,1
"333",2,0.25,4,1
"334",4,0.25,4,1
"335",8,0.25,4,1
"336",16,0.25,4,1
"337",0.125,0.5,4,1
"338",0.25,0.5,4,1
