"","obs_sd","context_sd","prior_sd","context_dim","bandit_count"
"1",16,0.5,0.125,1,6
"2",16,0.125,0.5,1,2
"3",8,0.25,0.125,1,5
"4",16,0.125,0.125,3,4
"5",16,0.5,0.125,3,2
"6",8,0.125,0.125,5,2
"7",8,0.125,0.125,1,3
"8",4,0.25,0.125,1,4
"9",8,0.125,0.125,1,8
"10",4,0.125,0.125,1,3
"11",16,0.125,0.25,2,7
"12",8,0.25,0.125,1,8
"13",16,0.25,0.5,2,3
"14",16,0.25,0.125,2,8
"15",16,0.25,0.125,2,4
"16",16,0.125,0.125,3,6
"17",8,0.25,0.125,1,9
"18",4,0.125,0.25,1,9
"19",8,0.125,0.25,2,6
"20",16,0.25,0.125,1,10
"21",8,0.125,0.25,1,5
"22",16,0.125,0.25,1,3
"23",16,0.25,0.125,1,5
"24",16,0.125,0.25,3,6
"25",16,0.5,0.125,1,7
"26",8,0.125,0.125,2,9
"27",16,0.25,0.125,1,9
"28",16,0.125,0.125,7,9
"29",16,0.125,0.25,9,4
"30",16,0.25,0.125,3,4
"31",16,0.125,0.5,1,8
"32",16,0.125,0.125,5,10
"33",16,0.5,0.125,4,3
"34",8,0.125,0.125,8,4
"35",4,0.125,0.125,5,3
"36",16,0.125,0.125,10,5
"37",8,0.25,0.125,2,9
"38",8,0.25,0.125,4,5
"39",16,0.125,0.25,6,10
"40",8,0.125,0.25,1,2
"41",8,0.25,0.125,2,5
"42",16,0.125,0.125,2,7
"43",8,0.125,0.25,5,2
"44",16,0.125,0.125,6,3
"45",16,0.25,0.125,2,10
"46",8,0.125,0.125,2,10
"47",16,0.25,0.125,6,7
"48",16,0.125,0.25,6,8
"49",16,0.125,0.25,2,9
"50",16,0.125,0.125,4,8
"51",16,0.125,0.25,10,4
"52",8,0.125,0.125,8,9
"53",16,0.25,0.125,10,2
"54",8,0.125,0.125,1,7
"55",16,0.125,0.125,8,7
"56",8,0.125,0.125,2,3
"57",16,0.125,0.125,10,9
"58",4,0.125,0.125,2,6
"59",16,0.25,0.25,1,5
"60",16,0.125,0.125,2,8
"61",16,0.25,0.125,3,9
"62",16,0.125,0.25,8,3
"63",4,0.25,0.125,1,10
"64",8,0.125,0.125,2,7
"65",8,0.125,0.125,4,2
"66",16,0.25,0.25,3,9
"67",16,0.125,0.25,7,7
"68",16,0.125,0.125,5,8
"69",8,0.25,0.125,8,2
"70",16,0.125,0.125,3,3
"71",16,0.25,0.125,9,10
"72",16,0.5,0.125,1,3
"73",16,0.125,0.125,9,9
"74",16,0.125,0.125,8,6
"75",4,0.125,0.125,2,7
"76",16,0.125,0.125,8,3
"77",8,0.125,0.125,9,10
"78",8,0.25,0.125,5,6
"79",16,0.125,0.125,8,10
"80",16,0.25,0.25,8,5
"81",8,0.125,0.125,3,8
"82",16,0.125,0.125,7,4
"83",16,0.125,0.125,7,10
"84",16,0.25,0.125,1,7
"85",8,0.125,0.125,4,8
"86",16,0.125,0.125,4,2
"87",16,0.125,0.125,1,3
"88",8,0.125,0.125,8,7
"89",4,0.125,0.125,4,7
"90",16,0.125,0.125,4,3
"91",16,0.25,0.125,7,5
"92",16,0.25,0.125,5,8
"93",16,0.25,0.125,5,6
"94",16,0.25,0.125,4,8
"95",8,0.125,0.125,8,3
"96",16,0.125,0.125,10,6
"97",16,0.25,0.125,7,10
"98",8,0.125,0.25,5,4
"99",16,0.125,0.25,4,7
"100",8,0.125,0.125,2,8
"101",8,0.125,0.125,9,9
"102",16,0.25,0.125,2,7
"103",16,0.125,0.125,10,10
"104",16,0.25,0.125,8,7
"105",16,0.125,0.25,3,3
"106",8,0.125,0.125,1,5
"107",16,0.125,0.125,10,7
"108",16,0.125,0.125,4,6
"109",8,0.125,0.125,6,8
"110",16,0.125,0.125,2,4
"111",4,0.125,0.125,1,6
"112",16,0.25,0.125,1,8
"113",16,0.25,0.125,6,4
"114",8,0.125,0.125,5,6
"115",16,0.25,0.125,1,4
"116",16,0.25,0.125,9,5
"117",16,0.25,0.125,10,4
"118",16,0.125,0.25,10,7
"119",8,0.125,0.125,6,6
"120",16,0.125,0.125,5,6
"121",8,0.125,0.125,4,6
"122",16,0.5,0.125,1,8
"123",16,0.25,0.125,4,10
"124",16,0.125,0.25,3,5
"125",16,0.25,0.125,7,4
