"","obs_sd","context_sd","prior_sd"
"1",0.125,0.125,0.125
"2",0.25,0.125,0.125
"3",0.5,0.125,0.125
"4",1,0.125,0.125
"5",2,0.125,0.125
"6",3,0.125,0.125
"7",4,0.125,0.125
"8",5,0.125,0.125
"9",6,0.125,0.125
"10",7,0.125,0.125
"11",8,0.125,0.125
"12",9,0.125,0.125
"13",10,0.125,0.125
"14",16,0.125,0.125
"15",32,0.125,0.125
"16",0.125,0.25,0.125
"17",0.25,0.25,0.125
"18",0.5,0.25,0.125
"19",1,0.25,0.125
"20",2,0.25,0.125
"21",3,0.25,0.125
"22",4,0.25,0.125
"23",5,0.25,0.125
"24",6,0.25,0.125
"25",7,0.25,0.125
"26",8,0.25,0.125
"27",9,0.25,0.125
"28",10,0.25,0.125
"29",16,0.25,0.125
"30",32,0.25,0.125
"31",0.125,0.5,0.125
"32",0.25,0.5,0.125
"33",0.5,0.5,0.125
"34",1,0.5,0.125
"35",2,0.5,0.125
"36",3,0.5,0.125
"37",4,0.5,0.125
"38",5,0.5,0.125
"39",6,0.5,0.125
"40",7,0.5,0.125
"41",8,0.5,0.125
"42",9,0.5,0.125
"43",10,0.5,0.125
"44",16,0.5,0.125
"45",32,0.5,0.125
"46",0.125,1,0.125
"47",0.25,1,0.125
"48",0.5,1,0.125
"49",1,1,0.125
"50",2,1,0.125
"51",3,1,0.125
"52",4,1,0.125
"53",5,1,0.125
"54",6,1,0.125
"55",7,1,0.125
"56",8,1,0.125
"57",9,1,0.125
"58",10,1,0.125
"59",16,1,0.125
"60",32,1,0.125
"61",0.125,2,0.125
"62",0.25,2,0.125
"63",0.5,2,0.125
"64",1,2,0.125
"65",2,2,0.125
"66",3,2,0.125
"67",4,2,0.125
"68",5,2,0.125
"69",6,2,0.125
"70",7,2,0.125
"71",8,2,0.125
"72",9,2,0.125
"73",10,2,0.125
"74",16,2,0.125
"75",32,2,0.125
"76",0.125,3,0.125
"77",0.25,3,0.125
"78",0.5,3,0.125
"79",1,3,0.125
"80",2,3,0.125
"81",3,3,0.125
"82",4,3,0.125
"83",5,3,0.125
"84",6,3,0.125
"85",7,3,0.125
"86",8,3,0.125
"87",9,3,0.125
"88",10,3,0.125
"89",16,3,0.125
"90",32,3,0.125
"91",0.125,4,0.125
"92",0.25,4,0.125
"93",0.5,4,0.125
"94",1,4,0.125
"95",2,4,0.125
"96",3,4,0.125
"97",4,4,0.125
"98",5,4,0.125
"99",6,4,0.125
"100",7,4,0.125
"101",8,4,0.125
"102",9,4,0.125
"103",10,4,0.125
"104",16,4,0.125
"105",32,4,0.125
"106",0.125,5,0.125
"107",0.25,5,0.125
"108",0.5,5,0.125
"109",1,5,0.125
"110",2,5,0.125
"111",3,5,0.125
"112",4,5,0.125
"113",5,5,0.125
"114",6,5,0.125
"115",7,5,0.125
"116",8,5,0.125
"117",9,5,0.125
"118",10,5,0.125
"119",16,5,0.125
"120",32,5,0.125
"121",0.125,6,0.125
"122",0.25,6,0.125
"123",0.5,6,0.125
"124",1,6,0.125
"125",2,6,0.125
"126",3,6,0.125
"127",4,6,0.125
"128",5,6,0.125
"129",6,6,0.125
"130",7,6,0.125
"131",8,6,0.125
"132",9,6,0.125
"133",10,6,0.125
"134",16,6,0.125
"135",32,6,0.125
"136",0.125,7,0.125
"137",0.25,7,0.125
"138",0.5,7,0.125
"139",1,7,0.125
"140",2,7,0.125
"141",3,7,0.125
"142",4,7,0.125
"143",5,7,0.125
"144",6,7,0.125
"145",7,7,0.125
"146",8,7,0.125
"147",9,7,0.125
"148",10,7,0.125
"149",16,7,0.125
"150",32,7,0.125
"151",0.125,8,0.125
"152",0.25,8,0.125
"153",0.5,8,0.125
"154",1,8,0.125
"155",2,8,0.125
"156",3,8,0.125
"157",4,8,0.125
"158",5,8,0.125
"159",6,8,0.125
"160",7,8,0.125
"161",8,8,0.125
"162",9,8,0.125
"163",10,8,0.125
"164",16,8,0.125
"165",32,8,0.125
"166",0.125,9,0.125
"167",0.25,9,0.125
"168",0.5,9,0.125
"169",1,9,0.125
"170",2,9,0.125
"171",3,9,0.125
"172",4,9,0.125
"173",5,9,0.125
"174",6,9,0.125
"175",7,9,0.125
"176",8,9,0.125
"177",9,9,0.125
