"","obs_sd","context_sd","prior_sd"
"1",0.5,0.25,0.5
"2",1,0.25,0.5
"3",1.5,0.25,0.5
"4",2,0.25,0.5
"5",2.5,0.25,0.5
"6",3,0.25,0.5
"7",3.5,0.25,0.5
"8",4,0.25,0.5
"9",4.5,0.25,0.5
"10",5,0.25,0.5
"11",5.5,0.25,0.5
"12",6,0.25,0.5
"13",6.5,0.25,0.5
"14",7,0.25,0.5
"15",7.5,0.25,0.5
"16",8,0.25,0.5
"17",8.5,0.25,0.5
"18",9,0.25,0.5
"19",9.5,0.25,0.5
"20",10,0.25,0.5
"21",10.5,0.25,0.5
"22",11,0.25,0.5
"23",11.5,0.25,0.5
"24",12,0.25,0.5
"25",12.5,0.25,0.5
"26",13,0.25,0.5
"27",13.5,0.25,0.5
"28",14,0.25,0.5
"29",14.5,0.25,0.5
"30",15,0.25,0.5
"31",15.5,0.25,0.5
"32",16,0.25,0.5
"33",0.5,0.5,0.5
"34",1,0.5,0.5
"35",1.5,0.5,0.5
"36",2,0.5,0.5
"37",2.5,0.5,0.5
"38",3,0.5,0.5
"39",3.5,0.5,0.5
"40",4,0.5,0.5
"41",4.5,0.5,0.5
"42",5,0.5,0.5
"43",5.5,0.5,0.5
"44",6,0.5,0.5
"45",6.5,0.5,0.5
"46",7,0.5,0.5
"47",7.5,0.5,0.5
"48",8,0.5,0.5
"49",8.5,0.5,0.5
"50",9,0.5,0.5
"51",9.5,0.5,0.5
"52",10,0.5,0.5
"53",10.5,0.5,0.5
"54",11,0.5,0.5
"55",11.5,0.5,0.5
"56",12,0.5,0.5
"57",12.5,0.5,0.5
"58",13,0.5,0.5
"59",13.5,0.5,0.5
"60",14,0.5,0.5
"61",14.5,0.5,0.5
"62",15,0.5,0.5
"63",15.5,0.5,0.5
"64",16,0.5,0.5
"65",0.5,0.75,0.5
"66",1,0.75,0.5
"67",1.5,0.75,0.5
"68",2,0.75,0.5
"69",2.5,0.75,0.5
"70",3,0.75,0.5
"71",3.5,0.75,0.5
"72",4,0.75,0.5
